[step 500] loss=21.3071 | td_loss_embd=0.2209 | td_loss_hidn=0.3212 | td_loss_attn=2.4334 | td_loss_total_raw=2.9755 | learning_rate=4.97e-05
[step 1000] loss=2.6178 | td_loss_embd=0.1513 | td_loss_hidn=0.2564 | td_loss_attn=2.0136 | td_loss_total_raw=2.4213 | learning_rate=4.93e-05
[step 1500] loss=2.3722 | td_loss_embd=0.1347 | td_loss_hidn=0.2332 | td_loss_attn=1.8894 | td_loss_total_raw=2.2572 | learning_rate=4.89e-05
[step 2000] loss=2.2709 | td_loss_embd=0.1322 | td_loss_hidn=0.2170 | td_loss_attn=1.8417 | td_loss_total_raw=2.1909 | learning_rate=4.84e-05
[step 2500] loss=2.2114 | td_loss_embd=0.1316 | td_loss_hidn=0.2206 | td_loss_attn=1.8278 | td_loss_total_raw=2.1801 | learning_rate=4.80e-05
[step 3000] loss=2.1731 | td_loss_embd=0.1239 | td_loss_hidn=0.2156 | td_loss_attn=2.2899 | td_loss_total_raw=2.6294 | learning_rate=4.76e-05
[step 3500] loss=2.1452 | td_loss_embd=0.1282 | td_loss_hidn=0.2059 | td_loss_attn=1.7508 | td_loss_total_raw=2.0849 | learning_rate=4.71e-05
[step 4000] loss=2.1224 | td_loss_embd=0.1364 | td_loss_hidn=0.2160 | td_loss_attn=1.7720 | td_loss_total_raw=2.1244 | learning_rate=4.67e-05
[step 4500] loss=2.1057 | td_loss_embd=0.1288 | td_loss_hidn=0.2027 | td_loss_attn=1.7305 | td_loss_total_raw=2.0620 | learning_rate=4.63e-05
[step 5000] loss=2.0927 | td_loss_embd=0.1393 | td_loss_hidn=0.2126 | td_loss_attn=1.7455 | td_loss_total_raw=2.0973 | learning_rate=4.58e-05
[step 5500] loss=2.0800 | td_loss_embd=0.1200 | td_loss_hidn=0.2070 | td_loss_attn=1.7178 | td_loss_total_raw=2.0448 | learning_rate=4.54e-05
[step 6000] loss=2.0671 | td_loss_embd=0.1263 | td_loss_hidn=0.2042 | td_loss_attn=1.6710 | td_loss_total_raw=2.0016 | learning_rate=4.50e-05
[step 6500] loss=2.0601 | td_loss_embd=0.1294 | td_loss_hidn=0.2123 | td_loss_attn=1.7228 | td_loss_total_raw=2.0644 | learning_rate=4.45e-05
[step 7000] loss=2.0494 | td_loss_embd=0.1260 | td_loss_hidn=0.2064 | td_loss_attn=1.7075 | td_loss_total_raw=2.0399 | learning_rate=4.41e-05
[step 7500] loss=2.0392 | td_loss_embd=0.1301 | td_loss_hidn=0.2092 | td_loss_attn=1.7161 | td_loss_total_raw=2.0554 | learning_rate=4.37e-05
[step 8000] loss=2.0331 | td_loss_embd=0.1191 | td_loss_hidn=0.2076 | td_loss_attn=1.6927 | td_loss_total_raw=2.0194 | learning_rate=4.32e-05
[step 8500] loss=2.0258 | td_loss_embd=0.1112 | td_loss_hidn=0.1931 | td_loss_attn=1.6387 | td_loss_total_raw=1.9430 | learning_rate=4.28e-05
[step 9000] loss=2.0206 | td_loss_embd=0.1278 | td_loss_hidn=0.2064 | td_loss_attn=1.7197 | td_loss_total_raw=2.0538 | learning_rate=4.24e-05
[step 9500] loss=2.0148 | td_loss_embd=0.1293 | td_loss_hidn=0.2071 | td_loss_attn=1.7077 | td_loss_total_raw=2.0441 | learning_rate=4.19e-05
[step 10000] loss=2.0121 | td_loss_embd=0.1327 | td_loss_hidn=0.2079 | td_loss_attn=1.7159 | td_loss_total_raw=2.0565 | learning_rate=4.15e-05
[step 10500] loss=2.0064 | td_loss_embd=0.1264 | td_loss_hidn=0.2001 | td_loss_attn=1.6515 | td_loss_total_raw=1.9780 | learning_rate=4.11e-05
[step 11000] loss=2.0027 | td_loss_embd=0.1285 | td_loss_hidn=0.2072 | td_loss_attn=1.7194 | td_loss_total_raw=2.0551 | learning_rate=4.06e-05
[step 11500] loss=1.9991 | td_loss_embd=0.1186 | td_loss_hidn=0.1970 | td_loss_attn=1.6397 | td_loss_total_raw=1.9553 | learning_rate=4.02e-05
[step 12000] loss=1.9969 | td_loss_embd=0.1186 | td_loss_hidn=0.2004 | td_loss_attn=1.6379 | td_loss_total_raw=1.9568 | learning_rate=3.98e-05
[step 12500] loss=1.9909 | td_loss_embd=0.1159 | td_loss_hidn=0.1982 | td_loss_attn=1.6555 | td_loss_total_raw=1.9696 | learning_rate=3.93e-05
[step 13000] loss=1.9882 | td_loss_embd=0.1287 | td_loss_hidn=0.2088 | td_loss_attn=1.7170 | td_loss_total_raw=2.0545 | learning_rate=3.89e-05
[step 13500] loss=1.9858 | td_loss_embd=0.1223 | td_loss_hidn=0.2023 | td_loss_attn=1.7125 | td_loss_total_raw=2.0371 | learning_rate=3.85e-05
[step 14000] loss=1.9827 | td_loss_embd=0.1183 | td_loss_hidn=0.1999 | td_loss_attn=1.7146 | td_loss_total_raw=2.0328 | learning_rate=3.80e-05
[step 14500] loss=1.9793 | td_loss_embd=0.1143 | td_loss_hidn=0.1980 | td_loss_attn=1.5593 | td_loss_total_raw=1.8716 | learning_rate=3.76e-05
[step 15000] loss=1.9750 | td_loss_embd=0.1081 | td_loss_hidn=0.1923 | td_loss_attn=1.5562 | td_loss_total_raw=1.8566 | learning_rate=3.72e-05
[step 15500] loss=1.9721 | td_loss_embd=0.1164 | td_loss_hidn=0.1971 | td_loss_attn=1.6530 | td_loss_total_raw=1.9665 | learning_rate=3.67e-05
